Date,Content
2022-04-08 02:26:38+00:00,"b'@MythiaVTuber canggung kenapa \xf0\x9f\x98\xb3\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb, takut kakak tiba2 nyulik aku kah? \xf0\x9f\x98\xb3\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb'"
2022-04-08 01:54:44+00:00,b'@MythiaVTuber Apa aja bebas yang penting enak'
2022-04-08 01:51:28+00:00,"b'@MythiaVTuber Waduh, abang-abangan nih\xf0\x9f\xa4\xad, btw andi adek nya banyak ya wkwkw'"
2022-04-08 01:40:46+00:00,b'@MythiaVTuber ini kak https://t.co/zwEAdqagXV'
2022-04-08 00:35:13+00:00,b'@MythiaVTuber Astaga kalian berdua aowkkwkw'
2022-04-07 20:19:22+00:00,b'@MythiaVTuber Gila! Jam 23:41 belum tidur. Anda pekerja keras sekali ya \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc (termasuk yg komen juga warbyasah)'
2022-04-07 20:13:55+00:00,b'@MythiaVTuber Ya ampun \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x91\x8a\xf0\x9f\x91\x8a\xf0\x9f\x91\x8a'
2022-04-07 19:49:32+00:00,"b'@KeigoAria @MythiaVTuber Lautan asin , bisa"" kekurangan gula awokawok'"
2022-04-07 18:17:45+00:00,b'@MythiaVTuber Ga ngerti tolong di jelaskan'
2022-04-07 17:50:23+00:00,b'@MythiaVTuber Ari si anak tersesat\xf0\x9f\xa4\xa3'
2022-04-07 16:53:48+00:00,b'@MythiaVTuber Siapa yang menginisiasi kus kus ini...'
2022-04-07 16:53:40+00:00,b'Otsuuu Kuseigo @KeigoAria \nmakasih wawasan kuskus hari ini\xe2\x9c\xa8\nsangat random ygy~\ngk ngerti lagi dengan kehadiran Kust\xe2\x80\xa6 https://t.co/DnCYX1jb4R'
2022-04-07 16:44:39+00:00,b'@MythiaVTuber Sepertinya aku salah mengartikan'
2022-04-07 15:06:00+00:00,b'@6Izumi_keita9 @MythiaVTuber Owh makasih'
2022-04-07 12:52:14+00:00,"b'@MythiaVTuber Iya mitimitimitimii, smua ada sibuk masing2, yg penting tetep saling dukung, mantapujiwa!'"
2022-04-07 05:03:24+00:00,b'@mediterariaa_ @MythiaVTuber Mythia selalu paling manis'
2022-04-07 04:26:21+00:00,b'@reynaldi_fs @MythiaVTuber Apa sih!! APA SIH!! GWS dah Reynaldi'
2022-04-07 03:40:31+00:00,b'@MythiaVTuber Iya gpp miti\nAku kan menunggu info lagi kok hehe\xf0\x9f\x98\x85'
2022-04-07 01:17:38+00:00,b'@MythiaVTuber Pagi Mythi.'
2022-04-07 00:18:29+00:00,b'@MythiaVTuber Daijoubu Miti-senpai. Ganba~ \xf0\x9f\x92\x9c\xf0\x9f\xa6\x87\xf0\x9f\x92\x9c\xf0\x9f\xa6\x87\xf0\x9f\x92\x9c\n\nSemoga lancar segala urusannya ya'
2022-04-07 00:05:24+00:00,b'@MythiaVTuber Gapapa miti\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c'
2022-04-07 00:04:50+00:00,"b'@MythiaVTuber Selamat pagi miti sayang\nGapapa miti, take your time. Semoga di permudah kegiatan hari ini ya miti..\xf0\x9f\x98\x8a\xf0\x9f\x92\x9c'"
2022-04-06 23:59:02+00:00,"b'@MythiaVTuber Selamat Pagi Miti, hmmm..., Kira-kira siapa nih yang menang ya'"
2022-04-06 23:46:14+00:00,b'@MythiaVTuber Pagi miti gapapa sayang  semoga urusannya lancar dan cepet selesai ya~ jgn lupa istirahat miti'
2022-04-06 23:41:36+00:00,"b'@MythiaVTuber Morning mitii\nGapapa mittt,jaga kesehatan yaa,have a great day'"
2022-04-06 23:41:32+00:00,"b'@MythiaVTuber Tidak apa-apa, Yang Mulia. Kami paham kok'"
2022-04-06 23:39:01+00:00,"b'@MythiaVTuber Pagi juga Mit, semangat ya hari ini\nGpp Mit, semoga cepet selesai urusannya'"
2022-04-06 23:37:53+00:00,b'@MythiaVTuber Gpp mit!\nYg penting pembawaan konten-nya bisa maksimal ( \xea\x88\x8d\xe1\xb4\x97\xea\x88\x8d)'
2022-04-06 23:37:30+00:00,b'@MythiaVTuber Pagii Mitiiku sygg\xe2\x9b\x85\nIts Okeh Mit..Semangat Yah Sygg\xf0\x9f\x92\x9c\xf0\x9f\xa6\x87'
2022-04-06 23:35:45+00:00,b'@MythiaVTuber Tidaaaaaak :('
2022-04-06 23:35:34+00:00,"b'@MythiaVTuber pagii nona cantik!\n\nhum humm siapp, makasih yaa udh dikasi tau~\n\ngoodluck yaa!'"
2022-04-06 21:38:28+00:00,b'@MythiaVTuber Adove Cukup CS6 Extended'
2022-04-06 21:02:47+00:00,b'@MythiaVTuber akhirnya saya bisa nonton miti \xe2\x9c\xa8layf\xe2\x9c\xa8'
2022-04-06 16:12:28+00:00,b'@MythiaVTuber nyengir kamu'
2022-04-06 15:39:18+00:00,b'@MythiaVTuber Ayang Mythi \xf0\x9f\xa4\xa4'
2022-04-06 15:38:31+00:00,b'@MythiaVTuber Hoho'
2022-04-06 15:24:19+00:00,b'@MythiaVTuber UWOOGHHHH GAK SABARRR'
2022-04-06 14:53:02+00:00,b'@BerxBatford @MythiaVTuber Tangkyuu brex\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c'
2022-04-06 14:10:11+00:00,b'@MythiaVTuber Ada sesuatu yang menyenangkan nich \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80'
2022-04-06 14:07:45+00:00,b'@MythiaVTuber Kamu bohong'
2022-04-06 14:01:34+00:00,b'@nakata_minoru @MythiaVTuber Rasa ingin membelinya Stonks \xf0\x9f\x93\x88\xf0\x9f\x93\x88\xf0\x9f\x93\x88'
2022-04-06 13:59:56+00:00,b'@MythiaVTuber Good luck bagi yang ikutan~'
2022-04-06 13:59:25+00:00,b'@nakata_minoru @MythiaVTuber Ini nanti beneran dijual??? \xf0\x9f\x91\x80\xf0\x9f\x91\x80 Lucu banget'
2022-04-06 13:58:13+00:00,b'@MythiaVTuber Ikujoooo besok\xf0\x9f\x92\x9c'
2022-04-06 12:33:17+00:00,"b'@MythiaVTuber Siaaaap my kanjeng, maybe aku dateng di akhir akhir ya\xf0\x9f\x92\x9c'"
2022-04-06 12:22:07+00:00,"b'@MythiaVTuber maaf gabisa dateng huhu, kalo jam segitu dah mulai utsku\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x94\nistirahat yang cukup ya miti sayang\xf0\x9f\x92\x9c'"
2022-04-06 12:19:28+00:00,b'@MythiaVTuber M-M-MITI KAN MEMANG INDAH \xf0\x9f\x98\xb3\xf0\x9f\x91\x89\xf0\x9f\x91\x88\nmasamaaaaaa ehe\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
2022-04-06 12:13:21+00:00,b'@MythiaVTuber siap kanjeng\xf0\x9f\x92\x95'
2022-04-06 12:11:30+00:00,b'@MythiaVTuber Syukurlahhhh...\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
2022-04-06 12:09:01+00:00,"b'@MythiaVTuber Gak apa-apa Mit kalau pagi, lebih tidak menakutkan daripada tengah malam'"
2022-04-06 12:07:54+00:00,b'@MythiaVTuber Ok kak miti'
2022-04-06 12:06:49+00:00,"b""@MythiaVTuber Sepertinya untuk sesi horror aku gak bisa dateng mit kalo jam 8-9\xf0\x9f\xa5\xb2, i'm so sorry..."""
2022-04-06 12:06:22+00:00,b'@MythiaVTuber Oke sayang \xf0\x9f\x92\x9c'
2022-04-06 12:05:44+00:00,"b'@MythiaVTuber Okey miti, menyesuaikan miti aja enak nya gimana\xf0\x9f\x98\x8a\xf0\x9f\x92\x9c'"
2022-04-06 12:05:23+00:00,"b'@MythiaVTuber okey mit,ditunggu streamnya'"
2022-04-06 12:05:05+00:00,b'@MythiaVTuber Oke Cantik!'
2022-04-06 12:04:47+00:00,"b'@MythiaVTuber baik Bun, tetep di tunggu \xf0\x9f\xa4\xb2'"
2022-04-06 12:04:20+00:00,b'@MythiaVTuber siapp cantikk! makasih udah dikasi tauu~'
2022-04-06 11:46:33+00:00,b'@reynaldi_fs @MythiaVTuber halu yang indah di sore hari bro\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
2022-04-06 11:45:16+00:00,b'@reynaldi_fs @MythiaVTuber When halu udah sampe batas limit'
2022-04-06 11:41:59+00:00,"b'Otsu Mythi, thank you \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb.\nI feel sooo cireng, tapi apa yang gak buat Mythi hahahaha.\n\n@MythiaVTuber  #MythiAlive https://t.co/RIk5q13clc'"
2022-04-06 11:34:17+00:00,"b'OTSU MITI\xf0\x9f\xa5\xba\xe2\x9c\xa8\xf0\x9f\x92\x9c\nSee you next Stream\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\nMakasih miti udah mau nemenin buka puasa, iam so happy\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c\n\nMiti jangan lupa minu\xe2\x80\xa6 https://t.co/0gY7mQ2Y4x'"
2022-04-06 11:26:07+00:00,b'@BerxBatford @MythiaVTuber setuju'
2022-04-06 11:25:46+00:00,"b'Berbuka dengan yang manis manis, \nmiti contohnya\xf0\x9f\x91\x80\xf0\x9f\x92\x96\n@MythiaVTuber \n#MythiALive https://t.co/Ug6JNE25uU'"
2022-04-06 11:00:32+00:00,b'Berbukalah dengan yang manis-manis kalo kata pak ustadz \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x92\x96 @MythiaVTuber #MythiALive https://t.co/m41cu9AI9k'
2022-04-06 10:29:49+00:00,b'@MythiaVTuber Mau takjil? @cinnamonrollssw'
2022-04-06 10:29:45+00:00,b'@MythiaVTuber Kayaknya aku cuma mampir bentar deh :('
2022-04-06 10:27:08+00:00,"b'@MythiaVTuber Moga gak sibuk di dapur, supaya keburu nonton'"
