Date,Content
2022-07-13 12:24:31+00:00,"b'Jadwal #holoID hari ini!\n\n11:00- Kaela\n13:20- Kaela\n16:00- Anya, Sana\n17:00- Risu\n17:00- Moona\n19:00- Kobo, Kiara\n2\xe2\x80\xa6 https://t.co/7qrO8eVCiz'"
2022-07-13 11:20:39+00:00,"b'mantab bang\n#Risu_Live #Ayunda_Risu #hololive #holoID #hololive_ID https://t.co/w7GW1lVktL'"
2022-07-12 06:52:43+00:00,"b'Gerakan dukung #KoboKanaeru masuk podcast om Deddy \n#AeruSeni #Kobobrok #holoID #Klarifikasi #botak https://t.co/72IfMzeNKd'"
2022-07-11 13:00:06+00:00,"b'Selamat 2 juta views #identityvoices!\n\nTidak terasa sudah hampir setahun dari syukuran #YAGOOtumpengan, terima kasi\xe2\x80\xa6 https://t.co/sBqzxEjq50'"
2022-07-11 12:54:36+00:00,"b'Jadwal #holoID hari ini!\n\n01:00- Kobo\n06:00- Kaela\n08:00- Moona\n19:00- Zeta\n19:00- Anya, Sora\n20:00- Risu\n20:00- Mo\xe2\x80\xa6 https://t.co/rXYCPHwLz6'"
2022-07-11 02:46:58+00:00,"b'[Breaking News - Virtual / VTuber] #P2y\nTotal Pelanggan YouTube hololive Indonesia Mencapai 6,5 Juta\nTerobosan deng\xe2\x80\xa6 https://t.co/G03xUh1m3e'"
2022-07-10 17:44:26+00:00,"b'pov bertemu zeta di stasiun citayem menuju stasiun sudirman\n#vestiazeta #Zetacrylic #holoID #hololive https://t.co/inTqBvJIsJ'"
2022-07-10 16:00:54+00:00,"b'\xf0\x9f\x8e\x89Berita gembira!\xf0\x9f\x8e\x89\nSelamat untuk #KoboKanaeru atas pencapaian 1 juta subscribersnya!\nTerima kasih banyak kepada semu\xe2\x80\xa6 https://t.co/YZNd0CbniS'"
2022-07-10 12:51:41+00:00,"b'Congrats @kobokanaeru \n1 JUTA SUBS!!! Kobo Menjadi Member HoloID Gen3 Pertama Mendapatkannya\xe3\x80\x90Ko...\xe2\x80\xa6 https://t.co/tIP2ZdhgvD'"
2022-07-10 11:02:34+00:00,"b'Gambar lagii! \xe0\xac\x98(\xe0\xa9\xad \xe1\x90\x9b )\xe2\x99\xa1\n. \n\n#ioarts #holoID #art #draw #artist  #ArtistOnTwitter #artmoots #traditionalart\xe2\x80\xa6 https://t.co/kOpp0yr8OB'"
2022-07-10 02:07:48+00:00,"b'@valorantde Kobo Kanaeru : Sageuu~\n\n#KoboKanaeru #Kobobrok #holoID #Holoh3ro https://t.co/wbXj5MWpkw'"
