Date,Content,prediction
2022-04-08 02:26:38+00:00, canggung kenapa takut kakak tiba nyulik aku kah ,0
2022-04-08 01:54:44+00:00, apa aja bebas yang penting enak ,0
2022-04-08 01:51:28+00:00, waduh abang abangan nih btw andi adek nya banyak ya wkwkw ,2
2022-04-08 01:40:46+00:00, ini kak ,0
2022-04-08 00:35:13+00:00, astaga kalian berdua aowkkwkw ,1
2022-04-07 20:19:22+00:00, gila jam belum tidur anda pekerja keras sekali ya termasuk yg komen juga warbyasah ,2
2022-04-07 20:13:55+00:00, ya ampun ,0
2022-04-07 19:49:32+00:00, lautan asin bisa kekurangan gula awokawok ,0
2022-04-07 18:17:45+00:00, ga ngerti tolong di jelaskan ,0
2022-04-07 17:50:23+00:00, ari si anak tersesat ,0
2022-04-07 16:53:48+00:00, siapa yang menginisiasi kus kus ini ,0
2022-04-07 16:53:40+00:00,otsuuu kuseigo nmakasih wawasan kuskus hari ini nsangat random ygy ngk ngerti lagi dengan kehadiran kust ,1
2022-04-07 16:44:39+00:00, sepertinya aku salah mengartikan ,0
2022-04-07 15:06:00+00:00, owh makasih ,2
2022-04-07 12:52:14+00:00, iya mitimitimitimii smua ada sibuk masing yg penting tetep saling dukung mantapujiwa ,0
2022-04-07 05:03:24+00:00, mythia selalu paling manis ,2
2022-04-07 04:26:21+00:00, apa sih apa sih gws dah reynaldi ,0
2022-04-07 03:40:31+00:00, iya gpp miti naku kan menunggu info lagi kok hehe ,0
2022-04-07 01:17:38+00:00, pagi mythi ,2
2022-04-07 00:18:29+00:00, daijoubu miti senpai ganba nsemoga lancar segala urusannya ya ,0
2022-04-07 00:05:24+00:00, gapapa miti ,2
2022-04-07 00:04:50+00:00, selamat pagi miti sayang ngapapa miti take your time semoga di permudah kegiatan hari ini ya miti ,2
2022-04-06 23:59:02+00:00, selamat pagi miti hmmm kira kira siapa nih yang menang ya ,2
2022-04-06 23:46:14+00:00, pagi miti gapapa sayang semoga urusannya lancar dan cepet selesai ya jgn lupa istirahat miti ,2
2022-04-06 23:41:36+00:00, morning mitii ngapapa mittt jaga kesehatan yaa havegreat day ,2
2022-04-06 23:41:32+00:00, tidak apa apa yang mulia kami paham kok ,0
2022-04-06 23:39:01+00:00, pagi juga mit semangat ya hari ini ngpp mit semoga cepet selesai urusannya ,2
2022-04-06 23:37:53+00:00, gpp mit nyg penting pembawaan konten nya bisa maksimal ,2
2022-04-06 23:37:30+00:00, pagii mitiiku sygg nits okeh mit semangat yah sygg ,2
2022-04-06 23:35:45+00:00, tidaaaaaak ,2
2022-04-06 23:35:34+00:00, pagii nona cantik nhum humm siapp makasih yaa udh dikasi tau ngoodluck yaa ,2
2022-04-06 21:38:28+00:00, adove cukup cs eended ,2
2022-04-06 21:02:47+00:00, akhirnya saya bisa nonton miti layf ,0
2022-04-06 16:12:28+00:00, nyengir kamu ,0
2022-04-06 15:39:18+00:00, ayang mythi ,2
2022-04-06 15:38:31+00:00, hoho ,2
2022-04-06 15:24:19+00:00, uwooghhhh gak sabarrr ,0
2022-04-06 14:53:02+00:00, tangkyuu bre ,2
2022-04-06 14:10:11+00:00, ada sesuatu yang menyenangkan nich ,0
2022-04-06 14:07:45+00:00, kamu bohong ,0
2022-04-06 14:01:34+00:00, rasa ingin membelinya stonks ,2
2022-04-06 13:59:56+00:00, good luck bagi yang ikutan ,0
2022-04-06 13:59:25+00:00, ini nanti beneran dijual lucu banget ,0
2022-04-06 13:58:13+00:00, ikujoooo besok ,2
2022-04-06 12:33:17+00:00, siaaaap my kanjeng maybe aku dateng di akhir akhir ya ,0
2022-04-06 12:22:07+00:00, maaf gabisa dateng huhu kalo jam segitu dah mulai utsku nistirahat yang cukup ya miti sayang ,2
2022-04-06 12:19:28+00:00, m m miti kan memang indah nmasamaaaaaa ehe ,0
2022-04-06 12:13:21+00:00, siap kanjeng ,2
2022-04-06 12:11:30+00:00, syukurlahhhh ,2
2022-04-06 12:09:01+00:00, gak apa apa mit kalau pagi lebih tidak menakutkan daripada tengah malam ,2
2022-04-06 12:07:54+00:00, ok kak miti ,2
2022-04-06 12:06:49+00:00, sepertinya untuk sesi horror aku gak bisa dateng mit kalo jam i m so sorry ,2
2022-04-06 12:06:22+00:00, oke sayang ,2
2022-04-06 12:05:44+00:00, okey miti menyesuaikan miti aja enak nya gimana ,2
2022-04-06 12:05:23+00:00, okey mit ditunggu streamnya ,2
2022-04-06 12:05:05+00:00, oke cantik ,2
2022-04-06 12:04:47+00:00, baik bun tetep di tunggu ,0
2022-04-06 12:04:20+00:00, siapp cantikk makasih udah dikasi tauu ,2
2022-04-06 11:46:33+00:00, halu yang indah di sore hari bro ,1
2022-04-06 11:45:16+00:00, when halu udah sampe batas limit ,2
2022-04-06 11:41:59+00:00,otsu mythi thank you ni feel sooo cireng tapi apa yang gak buat mythi hahahaha n mythialive ,0
2022-04-06 11:34:17+00:00,otsu miti nsee you ne stream nmakasih miti udah mau nemenin buka puasa iam so happy nmiti jangan lupa minu ,0
2022-04-06 11:26:07+00:00, setuju ,2
2022-04-06 11:25:46+00:00,berbuka dengan yang manis manis nmiti contohnya nmythialive ,0
2022-04-06 11:00:32+00:00,berbukalah dengan yang manis manis kalo kata pak ustadz mythialive ,0
2022-04-06 10:29:49+00:00, mau takjil ,0
2022-04-06 10:29:45+00:00, kayaknya aku cuma mampir bentar deh ,1
2022-04-06 10:27:08+00:00, moga gak sibuk di dapur supaya keburu nonton ,0
2022-04-06 10:20:22+00:00, aku kayanya bisa mampir bentar aja ya mit biar dapet aja bukber sama ayang ,0
2022-04-06 10:16:20+00:00, bakalan mampir kalo sempet nanti mitii looking forward to it ,1
2022-04-06 10:16:04+00:00, suapin nya virtual yah ,2
2022-04-06 08:57:31+00:00, andi jadi cowk tulen dong ,0
2022-04-06 04:53:14+00:00, yookkk kita doakan ne mythia hehehehe aminnn ,1
2022-04-06 03:36:14+00:00, bang sy tergila gila ,2
2022-04-06 02:36:50+00:00, sejak kapan jadi abang njir ,0
2022-04-05 23:32:05+00:00, adek nya siapa tuh boleh diculik gk ,2
2022-04-05 23:03:46+00:00, kapan nih bang andi keliatan udelnya ,2
2022-04-05 21:39:38+00:00, genderfluid daripada pusing gak usah dipikirin wkwkwk ,0
2022-04-05 21:35:16+00:00, dan juga saya bingung apher itu gender nya apa wkwkwkw ,0
2022-04-05 20:32:38+00:00, potret saat di gym ,0
2022-04-05 20:26:54+00:00,otsu miti makasih udh nemenin saat sahur jangan lupa jaga kesehatan ya mit tadi juga ketawa bareng karena jokes ,1
2022-04-05 19:31:52+00:00,duluan ya tayangg mangaat streamnyaaa huhuhuuu mythialive ,0
2022-04-05 18:46:58+00:00,ketika miti di gundam seed amp seed destiny tinggal menunggu versi keigo epel andi dan chloe dan yg la ,0
2022-04-05 18:42:28+00:00, setau ku mama untuk sebagai desainer atau ilustrator dan papa untuk sebutan rigger l ,1
2022-04-05 18:31:06+00:00, wait andi manggil mamamiti manggil papajadi mana yg bener ,0
2022-04-05 18:08:49+00:00, segan ,2
2022-04-05 17:51:14+00:00, aseekk bisa ikut sebentar doang ,0
2022-04-05 17:45:39+00:00, sahur apa kita mitt mau aku beliin ,0
2022-04-05 17:40:18+00:00, yoo walaupun saya gapuasa tetep nonton aja lah semangat gaes yang puasa ,0
2022-04-05 17:40:16+00:00, sahur bareng ikujoooo ,1
2022-04-05 16:20:22+00:00, gini amat ngontrak di bumi ,0
2022-04-05 15:54:22+00:00, beren banget ,2
2022-04-05 15:10:35+00:00, sama sama ketec gang tapi andi blom udel gang ,0
2022-04-05 14:56:15+00:00, hemm gundam seed ya nstory ny drama percintaan ribet berkedok mecha beda sama seri gundam yg lain v ,0
2022-04-05 14:35:07+00:00, sainganmu banyak mit ,2
2022-04-05 14:31:00+00:00, sainganmu nambah mit ,2
2022-04-05 14:24:30+00:00, freetalk breng andi gass gk sih,2
2022-04-05 14:08:00+00:00, akur bgt siii betumbuk lah lt ,2
2022-04-05 13:57:44+00:00, makasih ueueeee ,2
2022-04-05 13:54:08+00:00, ntaps sebelahan ,2
2022-04-05 13:44:04+00:00, abang ya mit yaa abang loh ga boleh naksir awokwik ,0
2022-04-05 13:41:48+00:00, kaktus kakak adik tanpa status hiyahiyahiya maaf aku becanda jgn dihiraukan ,0
