,Date,Content,Sentiment
0,2022-04-08 02:26:38+00:00,canggung kenapa                takut kakak tiba nyulik aku kah,Negative
1,2022-04-08 01:54:44+00:00,apa aja bebas yang penting enak,Positive
2,2022-04-08 01:51:28+00:00,waduh  abang abangan nih     btw andi adek nya banyak ya wkwkw,Positive
3,2022-04-08 01:40:46+00:00,ini kak,Neutral
4,2022-04-08 00:35:13+00:00,astaga kalian berdua aowkkwkw,Negative
5,2022-04-07 20:19:22+00:00,gila  jam   belum tidur  anda pekerja keras sekali ya    a      a      a     termasuk yg komen juga warbyasah,Positive
6,2022-04-07 20:13:55+00:00,ya ampun,Neutral
7,2022-04-07 19:49:32+00:00,lautan asin   bisa  kekurangan gula awokawok,Neutral
8,2022-04-07 18:17:45+00:00,ga ngerti tolong di jelaskan,Neutral
9,2022-04-07 17:50:23+00:00,ari si anak tersesat,Negative
10,2022-04-07 16:53:48+00:00,siapa yang menginisiasi kus kus ini,Neutral
11,2022-04-07 16:53:40+00:00,otsuuu kuseigo  nmakasih wawasan kuskus hari ini    nsangat random ygy  ngk ngerti lagi dengan kehadiran kust,Positive
12,2022-04-07 16:44:39+00:00,sepertinya aku salah mengartikan,Positive
13,2022-04-07 15:06:00+00:00,owh makasih,Positive
14,2022-04-07 12:52:14+00:00,iya mitimitimitimii  smua ada sibuk masing  yg penting tetep saling dukung  mantapujiwa,Positive
15,2022-04-07 05:03:24+00:00,mythia selalu paling manis,Positive
16,2022-04-07 04:26:21+00:00,apa sih   apa sih   gws dah reynaldi,Negative
17,2022-04-07 03:40:31+00:00,iya gpp miti naku kan menunggu info lagi kok heh,Positive
18,2022-04-07 01:17:38+00:00,pagi mythi,Positive
19,2022-04-07 00:18:29+00:00,daijoubu miti senpai  ganba                  n nsemoga lancar segala urusannya ya,Positive
20,2022-04-07 00:05:24+00:00,gapapa miti    a,Positive
21,2022-04-07 00:04:50+00:00,selamat pagi miti sayang ngapapa miti  takyour tim semoga di permudah kegiatan hari ini ya miti,Positive
22,2022-04-06 23:59:02+00:00,selamat pagi miti  hmmm     kira kira siapa nih yang menang ya,Positive
23,2022-04-06 23:46:14+00:00,pagi miti gapapa sayang semoga urusannya lancar dan cepet selesai ya  jgn lupa istirahat miti,Positive
24,2022-04-06 23:41:36+00:00,morning mitii ngapapa mittt jaga kesehatan yaa hava great day,Positive
25,2022-04-06 23:41:32+00:00,tidak apa apa  yang mulia  kami paham kok,Positive
26,2022-04-06 23:39:01+00:00,pagi juga mit  semangat ya hari ini ngpp mit  semoga cepet selesai urusannya,Positive
27,2022-04-06 23:37:53+00:00,gpp mit  nyg penting pembawaan konten nya bisa maksimal    a    a,Positive
28,2022-04-06 23:37:30+00:00,pagii mitiiku sygg   nits okeh mit  semangat yah sygg,Positive
29,2022-04-06 23:35:45+00:00,tidaaaaaak,Neutral
30,2022-04-06 23:35:34+00:00,pagii nona cantik  n nhum humm siapp  makasih yaa udh dikasi tau  n ngoodluck yaa,Positive
31,2022-04-06 21:38:28+00:00,adovcukup cs eende,Neutral
32,2022-04-06 21:02:47+00:00,akhirnya saya bisa nonton miti    lay,Positive
33,2022-04-06 16:12:28+00:00,nyengir kamu,Negative
34,2022-04-06 15:39:18+00:00,ayang mythi,Positive
35,2022-04-06 15:38:31+00:00,hoho,Positive
36,2022-04-06 15:24:19+00:00,uwooghhhh gak sabarrr,Positive
37,2022-04-06 14:53:02+00:00,tangkyuu br  a,Positive
38,2022-04-06 14:10:11+00:00,ada sesuatu yang menyenangkan nich,Positive
39,2022-04-06 14:07:45+00:00,kamu bohong,Negative
40,2022-04-06 14:01:34+00:00,rasa ingin membelinya stonks,Positive
41,2022-04-06 13:59:56+00:00,gooluck bagi yang ikutan,Positive
42,2022-04-06 13:59:25+00:00,ini nanti beneran dijual         lucu banget,Positive
43,2022-04-06 13:58:13+00:00,ikujoooo besok,Positive
44,2022-04-06 12:33:17+00:00,siaaaap my kanjeng  maybaku dateng di akhir akhir ya,Positive
45,2022-04-06 12:22:07+00:00,maagabisa dateng huhu  kalo jam segitu dah mulai utsku       nistirahat yang cukup ya miti sayang,Positive
46,2022-04-06 12:19:28+00:00,m m miti kan memang indah         nmasamaaaaaa eh,Positive
47,2022-04-06 12:13:21+00:00,siap kanjeng,Positive
48,2022-04-06 12:11:30+00:00,syukurlahhhh,Positive
49,2022-04-06 12:09:01+00:00,gak apa apa mit kalau pagi  lebih tidak menakutkan daripada tengah malam,Positive
50,2022-04-06 12:07:54+00:00,ok kak miti,Positive
51,2022-04-06 12:06:49+00:00,sepertinya untuk sesi horror aku gak bisa dateng mit kalo jam        i m so sorry,Positive
52,2022-04-06 12:06:22+00:00,oksayang,Positive
53,2022-04-06 12:05:44+00:00,okey miti  menyesuaikan miti aja enak nya gimana,Positive
54,2022-04-06 12:05:23+00:00,okey mit ditunggu streamnya,Positive
55,2022-04-06 12:05:05+00:00,okcantik,Positive
56,2022-04-06 12:04:47+00:00,baik bun  tetep di tunggu,Positive
57,2022-04-06 12:04:20+00:00,siapp cantikk  makasih udah dikasi tauu,Positive
58,2022-04-06 11:46:33+00:00,halu yang indah di sorhari bro,Positive
59,2022-04-06 11:45:16+00:00,when halu udah sampbatas limit,Negative
60,2022-04-06 11:41:59+00:00,otsu mythi  thank you                    ni feel sooo cireng  tapi apa yang gak buat mythi hahahaha  n n mythialiv,Positive
61,2022-04-06 11:34:17+00:00,otsu miti    a       nseyou nstream          nmakasih miti udah mau nemenin buka puasa  iam so happy    a    n nmiti jangan lupa minu,Positive
62,2022-04-06 11:26:07+00:00,setuju,Neutral
63,2022-04-06 11:25:46+00:00,berbuka dengan yang manis manis   nmiti contohnya     n  nmythialiv,Positive
64,2022-04-06 11:00:32+00:00,berbukalah dengan yang manis manis kalo kata pak ustadz   a     mythialiv,Positive
65,2022-04-06 10:29:49+00:00,mau takjil,Neutral
