,Date,Content
0,2022-04-08 02:26:38+00:00, canggung kenapa takut kakak tiba nyulik aku kah 
1,2022-04-08 01:54:44+00:00, apa aja bebas yang penting enak 
2,2022-04-08 01:51:28+00:00, waduh abang abangan nih btw andi adek nya banyak ya wkwkw 
3,2022-04-08 01:40:46+00:00, ini kak 
4,2022-04-08 00:35:13+00:00, astaga kalian berdua aowkkwkw 
5,2022-04-07 20:19:22+00:00, gila jam belum tidur anda pekerja keras sekali ya termasuk yg komen juga warbyasah 
6,2022-04-07 20:13:55+00:00, ya ampun 
7,2022-04-07 19:49:32+00:00, lautan asin bisa kekurangan gula awokawok 
8,2022-04-07 18:17:45+00:00, ga ngerti tolong di jelaskan 
9,2022-04-07 17:50:23+00:00, ari si anak tersesat 
10,2022-04-07 16:53:48+00:00, siapa yang menginisiasi kus kus ini 
11,2022-04-07 16:53:40+00:00,otsuuu kuseigo makasih wawasan kuskus hari ini sangat random ygy gk ngerti lagi dengan kehadiran kust 
12,2022-04-07 16:44:39+00:00, sepertinya aku salah mengartikan 
13,2022-04-07 15:06:00+00:00, owh makasih 
14,2022-04-07 12:52:14+00:00, iya mitimitimitimii smua ada sibuk masing yg penting tetep saling dukung mantapujiwa 
15,2022-04-07 05:03:24+00:00, mythia selalu paling manis 
16,2022-04-07 04:26:21+00:00, apa sih apa sih gws dah reynaldi 
17,2022-04-07 03:40:31+00:00, iya gpp miti aku kan menunggu info lagi kok hehe 
18,2022-04-07 01:17:38+00:00, pagi mythi 
19,2022-04-07 00:18:29+00:00, daijoubu miti senpai ganba semoga lancar segala urusannya ya 
20,2022-04-07 00:05:24+00:00, gapapa miti 
21,2022-04-07 00:04:50+00:00, selamat pagi miti sayang gapapa miti take your time semoga di permudah kegiatan hari ini ya miti 
22,2022-04-06 23:59:02+00:00, selamat pagi miti hmmm kira kira siapa nih yang menang ya 
23,2022-04-06 23:46:14+00:00, pagi miti gapapa sayang semoga urusannya lancar dan cepet selesai ya jgn lupa istirahat miti 
24,2022-04-06 23:41:36+00:00, morning mitii gapapa mittt jaga kesehatan yaa havegreat day 
25,2022-04-06 23:41:32+00:00, tidak apa apa yang mulia kami paham kok 
26,2022-04-06 23:39:01+00:00, pagi juga mit semangat ya hari ini gpp mit semoga cepet selesai urusannya 
27,2022-04-06 23:37:53+00:00, gpp mit yg penting pembawaan konten nya bisa maksimal 
28,2022-04-06 23:37:30+00:00, pagii mitiiku sygg its okeh mit semangat yah sygg 
29,2022-04-06 23:35:45+00:00, tidaaaaaak 
30,2022-04-06 23:35:34+00:00, pagii nona cantik hum humm siapp makasih yaa udh dikasi tau goodluck yaa 
31,2022-04-06 21:38:28+00:00, adove cukup cs eended 
32,2022-04-06 21:02:47+00:00, akhirnya saya bisa nonton miti layf 
33,2022-04-06 16:12:28+00:00, nyengir kamu 
34,2022-04-06 15:39:18+00:00, ayang mythi 
35,2022-04-06 15:38:31+00:00, hoho 
36,2022-04-06 15:24:19+00:00, uwooghhhh gak sabarrr 
37,2022-04-06 14:53:02+00:00, tangkyuu bre 
38,2022-04-06 14:10:11+00:00, ada sesuatu yang menyenangkan nich 
39,2022-04-06 14:07:45+00:00, kamu bohong 
40,2022-04-06 14:01:34+00:00, rasa ingin membelinya stonks 
41,2022-04-06 13:59:56+00:00, good luck bagi yang ikutan 
42,2022-04-06 13:59:25+00:00, ini nanti beneran dijual lucu banget 
43,2022-04-06 13:58:13+00:00, ikujoooo besok 
44,2022-04-06 12:33:17+00:00, siaaaap my kanjeng maybe aku dateng di akhir akhir ya 
45,2022-04-06 12:22:07+00:00, maaf gabisa dateng huhu kalo jam segitu dah mulai utsku istirahat yang cukup ya miti sayang 
46,2022-04-06 12:19:28+00:00, m m miti kan memang indah masamaaaaaa ehe 
47,2022-04-06 12:13:21+00:00, siap kanjeng 
48,2022-04-06 12:11:30+00:00, syukurlahhhh 
49,2022-04-06 12:09:01+00:00, gak apa apa mit kalau pagi lebih tidak menakutkan daripada tengah malam 
50,2022-04-06 12:07:54+00:00, ok kak miti 
51,2022-04-06 12:06:49+00:00, sepertinya untuk sesi horror aku gak bisa dateng mit kalo jam i m so sorry 
52,2022-04-06 12:06:22+00:00, oke sayang 
53,2022-04-06 12:05:44+00:00, okey miti menyesuaikan miti aja enak nya gimana 
54,2022-04-06 12:05:23+00:00, okey mit ditunggu streamnya 
55,2022-04-06 12:05:05+00:00, oke cantik 
56,2022-04-06 12:04:47+00:00, baik bun tetep di tunggu 
57,2022-04-06 12:04:20+00:00, siapp cantikk makasih udah dikasi tauu 
58,2022-04-06 11:46:33+00:00, halu yang indah di sore hari bro 
59,2022-04-06 11:45:16+00:00, when halu udah sampe batas limit 
60,2022-04-06 11:41:59+00:00,otsu mythi thank you i feel sooo cireng tapi apa yang gak buat mythi hahahaha mythialive 
61,2022-04-06 11:34:17+00:00,otsu miti see you ne stream makasih miti udah mau nemenin buka puasa iam so happy miti jangan lupa minu 
62,2022-04-06 11:26:07+00:00, setuju 
63,2022-04-06 11:25:46+00:00,berbuka dengan yang manis manis miti contohnya mythialive 
64,2022-04-06 11:00:32+00:00,berbukalah dengan yang manis manis kalo kata pak ustadz mythialive 
65,2022-04-06 10:29:49+00:00, mau takjil 
66,2022-04-06 10:29:45+00:00, kayaknya aku cuma mampir bentar deh 
67,2022-04-06 10:27:08+00:00, moga gak sibuk di dapur supaya keburu nonton 
68,2022-04-06 10:20:22+00:00, aku kayanya bisa mampir bentar aja ya mit biar dapet aja bukber sama ayang 
69,2022-04-06 10:16:20+00:00, bakalan mampir kalo sempet nanti mitii looking forward to it 
70,2022-04-06 10:16:04+00:00, suapin nya virtual yah 
71,2022-04-06 08:57:31+00:00, andi jadi cowk tulen dong 
