,Date,Content,Label
0,2022-04-08 02:26:38+00:00," canggung kenapa takut kakak tiba nyulik aku kah ",0
1,2022-04-08 01:54:44+00:00," apa aja bebas yang penting enak ",2
2,2022-04-08 01:51:28+00:00," waduh abang abangan nih btw andi adek nya banyak ya wkwkw ",2
3,2022-04-08 01:40:46+00:00," ini kak ",1
4,2022-04-08 00:35:13+00:00," astaga kalian berdua aowkkwkw ",0
5,2022-04-07 20:19:22+00:00," gila jam belum tidur anda pekerja keras sekali ya termasuk yg komen juga warbyasah ",2
6,2022-04-07 20:13:55+00:00," ya ampun ",0
7,2022-04-07 19:49:32+00:00," lautan asin bisa kekurangan gula awokawok ",0
8,2022-04-07 18:17:45+00:00," ga ngerti tolong di jelaskan ",0
9,2022-04-07 17:50:23+00:00," ari si anak tersesat ",0
10,2022-04-07 16:53:48+00:00," siapa yang menginisiasi kus kus ini ",0
11,2022-04-07 16:53:40+00:00,"otsuuu kuseigo nmakasih wawasan kuskus hari ini nsangat random ygy ngk ngerti lagi dengan kehadiran kust ",2
12,2022-04-07 16:44:39+00:00," sepertinya aku salah mengartikan ",0
13,2022-04-07 15:06:00+00:00," owh makasih ",2
14,2022-04-07 12:52:14+00:00," iya mitimitimitimii smua ada sibuk masing yg penting tetep saling dukung mantapujiwa ",2
15,2022-04-07 05:03:24+00:00," mythia selalu paling manis ",2
16,2022-04-07 04:26:21+00:00," apa sih apa sih gws dah reynaldi ",0
17,2022-04-07 03:40:31+00:00," iya gpp miti naku kan menunggu info lagi kok hehe ",2
18,2022-04-07 01:17:38+00:00," pagi mythi ",2
19,2022-04-07 00:18:29+00:00," daijoubu miti senpai ganba nsemoga lancar segala urusannya ya ",2
20,2022-04-07 00:05:24+00:00," gapapa miti ",2
21,2022-04-07 00:04:50+00:00," selamat pagi miti sayang ngapapa miti take your time semoga di permudah kegiatan hari ini ya miti ",2
22,2022-04-06 23:59:02+00:00," selamat pagi miti hmmm kira kira siapa nih yang menang ya ",2
23,2022-04-06 23:46:14+00:00," pagi miti gapapa sayang semoga urusannya lancar dan cepet selesai ya jgn lupa istirahat miti ",2
24,2022-04-06 23:41:36+00:00," morning mitii ngapapa mittt jaga kesehatan yaa havegreat day ",2
25,2022-04-06 23:41:32+00:00," tidak apa apa yang mulia kami paham kok ",2
26,2022-04-06 23:39:01+00:00," pagi juga mit semangat ya hari ini ngpp mit semoga cepet selesai urusannya ",2
27,2022-04-06 23:37:53+00:00," gpp mit nyg penting pembawaan konten nya bisa maksimal ",2
28,2022-04-06 23:37:30+00:00," pagii mitiiku sygg nits okeh mit semangat yah sygg ",2
29,2022-04-06 23:35:45+00:00," tidaaaaaak ",0
30,2022-04-06 23:35:34+00:00," pagii nona cantik nhum humm siapp makasih yaa udh dikasi tau ngoodluck yaa ",2
31,2022-04-06 21:38:28+00:00," adove cukup cs eended ",1
32,2022-04-06 21:02:47+00:00," akhirnya saya bisa nonton miti layf ",2
33,2022-04-06 16:12:28+00:00," nyengir kamu ",0
34,2022-04-06 15:39:18+00:00," ayang mythi ",2
35,2022-04-06 15:38:31+00:00," hoho ",2
36,2022-04-06 15:24:19+00:00," uwooghhhh gak sabarrr ",2
37,2022-04-06 14:53:02+00:00," tangkyuu bre ",2
38,2022-04-06 14:10:11+00:00," ada sesuatu yang menyenangkan nich ",2
39,2022-04-06 14:07:45+00:00," kamu bohong ",0
40,2022-04-06 14:01:34+00:00," rasa ingin membelinya stonks ",2
41,2022-04-06 13:59:56+00:00," good luck bagi yang ikutan ",2
42,2022-04-06 13:59:25+00:00," ini nanti beneran dijual lucu banget ",2
43,2022-04-06 13:58:13+00:00," ikujoooo besok ",2
44,2022-04-06 12:33:17+00:00," siaaaap my kanjeng maybe aku dateng di akhir akhir ya ",2
45,2022-04-06 12:22:07+00:00," maaf gabisa dateng huhu kalo jam segitu dah mulai utsku nistirahat yang cukup ya miti sayang ",2
46,2022-04-06 12:19:28+00:00," m m miti kan memang indah nmasamaaaaaa ehe ",2
47,2022-04-06 12:13:21+00:00," siap kanjeng ",2
48,2022-04-06 12:11:30+00:00," syukurlahhhh ",2
49,2022-04-06 12:09:01+00:00," gak apa apa mit kalau pagi lebih tidak menakutkan daripada tengah malam ",0
50,2022-04-06 12:07:54+00:00," ok kak miti ",2
51,2022-04-06 12:06:49+00:00," sepertinya untuk sesi horror aku gak bisa dateng mit kalo jam i m so sorry ",0
52,2022-04-06 12:06:22+00:00," oke sayang ",2
53,2022-04-06 12:05:44+00:00," okey miti menyesuaikan miti aja enak nya gimana ",2
54,2022-04-06 12:05:23+00:00," okey mit ditunggu streamnya ",2
55,2022-04-06 12:05:05+00:00," oke cantik ",2
56,2022-04-06 12:04:47+00:00," baik bun tetep di tunggu ",2
57,2022-04-06 12:04:20+00:00," siapp cantikk makasih udah dikasi tauu ",2
58,2022-04-06 11:46:33+00:00," halu yang indah di sore hari bro ",2
59,2022-04-06 11:45:16+00:00," when halu udah sampe batas limit ",0
60,2022-04-06 11:41:59+00:00,"otsu mythi thank you ni feel sooo cireng tapi apa yang gak buat mythi hahahaha n mythialive ",2
61,2022-04-06 11:34:17+00:00,"otsu miti nsee you ne stream nmakasih miti udah mau nemenin buka puasa iam so happy nmiti jangan lupa minu ",2
62,2022-04-06 11:26:07+00:00," setuju ",1
63,2022-04-06 11:25:46+00:00,"berbuka dengan yang manis manis nmiti contohnya nmythialive ",2
64,2022-04-06 11:00:32+00:00,"berbukalah dengan yang manis manis kalo kata pak ustadz mythialive ",2
65,2022-04-06 10:29:49+00:00," mau takjil ",1
66,2022-04-06 10:29:45+00:00," kayaknya aku cuma mampir bentar deh ",2
67,2022-04-06 10:27:08+00:00," moga gak sibuk di dapur supaya keburu nonton ",2
68,2022-04-06 10:20:22+00:00," aku kayanya bisa mampir bentar aja ya mit biar dapet aja bukber sama ayang ",2
69,2022-04-06 10:16:20+00:00," bakalan mampir kalo sempet nanti mitii looking forward to it ",2
70,2022-04-06 10:16:04+00:00," suapin nya virtual yah ",0
71,2022-04-06 08:57:31+00:00," andi jadi cowk tulen dong ",0
72,2022-04-06 04:53:14+00:00," yookkk kita doakan ne mythia hehehehe aminnn ",2
73,2022-04-06 03:36:14+00:00," bang sy tergila gila ",2
74,2022-04-06 02:36:50+00:00," sejak kapan jadi abang njir ",0
75,2022-04-05 23:32:05+00:00," adek nya siapa tuh boleh diculik gk ",2
76,2022-04-05 23:03:46+00:00," kapan nih bang andi keliatan udelnya ",0
77,2022-04-05 21:39:38+00:00," genderfluid daripada pusing gak usah dipikirin wkwkwk ",2
78,2022-04-05 21:35:16+00:00," dan juga saya bingung apher itu gender nya apa wkwkwkw ",0
79,2022-04-05 20:32:38+00:00," potret saat di gym ",1
80,2022-04-05 20:26:54+00:00,"otsu miti makasih udh nemenin saat sahur jangan lupa jaga kesehatan ya mit tadi juga ketawa bareng karena jokes ",2
81,2022-04-05 19:31:52+00:00,"duluan ya tayangg mangaat streamnyaaa huhuhuuu mythialive ",2
82,2022-04-05 18:46:58+00:00,"ketika miti di gundam seed amp seed destiny tinggal menunggu versi keigo epel andi dan chloe dan yg la ",2
